,index,Timestamp,Value 1,Moving average (5),Moving average (6),Moving average (8),Moving average (10)
263,263,1593151401847.0,7791.0,6333.8,5863.166666666667,5818.0,5803.6
264,264,1593151461992.0,4465.0,5724.8,6022.333333333333,5748.0,5734.9
265,265,1593151522151.0,6111.0,6203.6,5789.166666666667,5719.375,5712.0
266,266,1593151582324.0,7654.0,6127.4,6445.333333333333,6237.375,5974.9
267,267,1593151642494.0,6843.0,6572.8,6246.666666666667,6154.0,6025.2
268,268,1593151702663.0,6099.0,6234.4,6493.833333333333,6451.75,6284.1
269,269,1593151762826.0,8705.0,7082.4,6646.166666666667,6535.5,6403.6
270,270,1593151822973.0,8580.0,7576.2,7332.0,7031.0,6889.9
271,271,1593151883138.0,6754.0,7396.2,7439.166666666667,6901.375,6761.8
272,272,1593151943308.0,3510.0,6729.6,6748.5,6782.0,6651.2
273,273,1593152003476.0,8137.0,7137.2,6964.166666666667,7035.25,6685.8
274,274,1593152063648.0,9774.0,7351.0,7576.666666666667,7300.25,7216.7
275,275,1593152123800.0,9044.0,7443.8,7633.166666666667,7575.375,7510.0
276,276,1593152183960.0,7259.0,7544.8,7413.0,7720.375,7470.5
277,277,1593152244130.0,18738.0,10590.4,9410.333333333334,8974.5,8660.0
278,278,1593152304248.0,4853.0,9933.6,9634.166666666666,8508.625,8535.4
279,279,1593152364368.0,6843.0,9347.4,9418.5,8519.75,8349.2
280,280,1593152424539.0,7031.0,8944.8,8961.333333333334,8959.875,8194.3
281,281,1593152484709.0,5868.0,8666.6,8432.0,8676.25,8105.7
282,282,1593152544874.0,6229.0,6164.8,8260.333333333334,8233.125,8377.6
283,283,1593152605008.0,6934.0,6581.0,6293.0,7969.375,8257.3
284,284,1593152665155.0,7914.0,6795.2,6803.166666666667,8051.25,8071.3
285,285,1593152725274.0,7522.0,6893.4,6916.333333333333,6649.25,7919.1
286,286,1593152785444.0,6188.0,6957.4,6775.833333333333,6816.125,7812.0
287,287,1593152845612.0,6343.0,6980.2,6855.0,6753.625,6572.5
288,288,1593152905780.0,5672.0,6727.8,6762.166666666667,6583.75,6654.4
289,289,1593152965944.0,7757.0,6696.4,6899.333333333333,6819.875,6745.8
290,290,1593153026064.0,3985.0,5989.0,6244.5,6539.375,6441.2
291,291,1593153086189.0,7042.0,6159.8,6164.5,6552.875,6558.6
292,292,1593153146360.0,4435.0,5778.2,5872.333333333333,6118.0,6379.2
293,293,1593153206531.0,8444.0,6332.6,6222.5,6233.25,6530.2
294,294,1593153266701.0,6339.0,6049.0,6333.666666666667,6252.125,6372.7
295,295,1593153326871.0,6343.0,6520.6,6098.0,6252.125,6254.8
296,296,1593153387042.0,5794.0,6271.0,6399.5,6267.375,6215.4
297,297,1593153447212.0,6826.0,6749.2,6363.5,6151.0,6263.7
298,298,1593153507369.0,5014.0,6063.2,6460.0,6279.625,6197.9
299,299,1593153567538.0,7616.0,6318.6,6322.0,6351.375,6183.8
300,300,1593153627708.0,5168.0,6083.6,6126.833333333333,6443.0,6302.1
301,301,1593153687876.0,8261.0,6577.0,6446.5,6420.125,6424.0
302,302,1593153748046.0,4294.0,6070.6,6196.5,6164.5,6409.9
303,303,1593153808217.0,5871.0,6242.0,6037.333333333333,6105.5,6152.6
304,304,1593153868372.0,11167.0,6952.2,7062.833333333333,6777.125,6635.4
305,305,1593153928530.0,7055.0,7329.6,6969.333333333333,6805.75,6706.6
306,306,1593153988677.0,9476.0,7572.6,7687.333333333333,7363.5,7074.8
307,307,1593154048793.0,8785.0,8470.8,7774.666666666667,7509.625,7270.7
308,308,1593154108962.0,7348.0,8766.2,8283.666666666666,7782.125,7504.1
309,309,1593154169331.0,6994.0,7931.6,8470.833333333334,7623.75,7441.9
310,310,1593154229595.0,5014.0,7523.4,7445.333333333333,7713.75,7426.5
311,311,1593154289742.0,8670.0,7362.2,7714.5,8063.625,7467.4
312,312,1593154349885.0,3985.0,6402.2,6799.333333333333,7165.875,7436.5
313,313,1593154410052.0,7699.0,6472.4,6618.333333333333,7246.375,7619.3
314,314,1593154470220.0,4087.0,5891.0,6074.833333333333,6572.75,6911.3
315,315,1593154530392.0,2342.0,5356.6,5299.5,5767.375,6440.0
316,316,1593154590568.0,7367.0,5096.0,5691.666666666667,5769.75,6229.1
317,317,1593154650744.0,6847.0,5668.4,5387.833333333333,5751.375,6035.3
318,318,1593154710915.0,5258.0,5180.2,5600.0,5781.875,5826.3
